Supplier,Industry,Fuel,Origin,Destination,Mode,Year,Value
Producer,Port,NH3,Chanaral,Antofagasta,pipeline,2040,0.0
Producer,Port,NH3,Chanaral,Antofagasta,pipeline,2045,0.0
Producer,Port,NH3,Chanaral,Antofagasta,pipeline,2050,0.0
Producer,Port,NH3,Teruel,Hamburg,pipeline,2030,16.64
Producer,Port,NH3,Teruel,Hamburg,pipeline,2035,32.10678731886761
Producer,Port,NH3,Teruel,Hamburg,pipeline,2040,26.902054816641247
Producer,Port,NH3,Teruel,Hamburg,pipeline,2045,19.74687862512867
Producer,Port,NH3,Teruel,Hamburg,pipeline,2050,32.10678731886761
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2030,2.3487941774961794
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2035,14.996756030108825
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2040,14.996756030108825
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2045,14.996756030108825
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2050,14.996756030108825
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2030,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2035,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2040,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2045,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2050,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2050,0.0
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2030,4.830216370648926
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2035,6.8259061989941845
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2040,5.879605403229544
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2045,0.09092540664256683
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2030,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2030,1.3923344250741136
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2040,0.2531517136498505
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2045,0.8860309977744331
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2050,1.3923344250741136
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2030,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2050,0.0
