Supplier,Industry,Fuel,Origin,Destination,Mode,Year,Value
Producer,Fertilizer,MeOH,Teruel,Ludwigshafen,pipeline,2050,0.0
Producer,Shipping,H2,Teruel,Hamburg,pipeline,2030,0.0
Producer,Shipping,H2,Teruel,Hamburg,pipeline,2035,0.0
Producer,Shipping,H2,Teruel,Hamburg,pipeline,2040,0.0
Producer,Shipping,H2,Teruel,Hamburg,pipeline,2045,0.0
Producer,Shipping,H2,Teruel,Hamburg,pipeline,2050,0.0
Producer,Shipping,NH3,Teruel,Hamburg,pipeline,2030,23.948714172966064
Producer,Shipping,NH3,Teruel,Hamburg,pipeline,2035,0.0
Producer,Shipping,NH3,Teruel,Hamburg,pipeline,2040,0.0
Producer,Shipping,NH3,Teruel,Hamburg,pipeline,2045,0.0
Producer,Shipping,NH3,Teruel,Hamburg,pipeline,2050,0.0
Producer,Shipping,MeOH,Teruel,Hamburg,pipeline,2030,0.0
Producer,Shipping,MeOH,Teruel,Hamburg,pipeline,2035,0.0
Producer,Shipping,MeOH,Teruel,Hamburg,pipeline,2040,0.0
Producer,Shipping,MeOH,Teruel,Hamburg,pipeline,2045,0.0
Producer,Shipping,MeOH,Teruel,Hamburg,pipeline,2050,0.0
Producer,Steel,H2,Teruel,Duisburg,pipeline,2030,12.5
Producer,Steel,H2,Teruel,Duisburg,pipeline,2035,0.0
Producer,Steel,H2,Teruel,Duisburg,pipeline,2040,0.0
Producer,Steel,H2,Teruel,Duisburg,pipeline,2045,0.0
Producer,Steel,H2,Teruel,Duisburg,pipeline,2050,0.0
Producer,Steel,NH3,Teruel,Duisburg,pipeline,2030,0.0
Producer,Steel,NH3,Teruel,Duisburg,pipeline,2035,0.0
Producer,Steel,NH3,Teruel,Duisburg,pipeline,2040,0.0
Producer,Steel,NH3,Teruel,Duisburg,pipeline,2045,0.0
Producer,Steel,NH3,Teruel,Duisburg,pipeline,2050,0.0
Producer,Steel,MeOH,Teruel,Duisburg,pipeline,2030,0.0
Producer,Steel,MeOH,Teruel,Duisburg,pipeline,2035,0.0
Producer,Steel,MeOH,Teruel,Duisburg,pipeline,2040,0.0
Producer,Steel,MeOH,Teruel,Duisburg,pipeline,2045,0.0
Producer,Steel,MeOH,Teruel,Duisburg,pipeline,2050,0.0
Producer,Port,H2,Chanaral,Antofagasta,pipeline,2030,0.0
