Country,Location,Industry,Value
DEU,Duisburg,Steel,1
DEU,Ludwigshafen,Fertilizer,1
DEU,Leverkusen,Hvc,1
DEU,Hamburg,Shipping,1
DEU,Frankfurt,Aviation,1
CHL,Chanaral,NH3 Producer,1
CHL,Chanaral,H2 Producer,1
CHL,Chanaral,MeOH Producer,1
ESP,Huelva,NH3 Producer,1
ESP,Huelva,H2 Producer,1
ESP,Huelva,MeOH Producer,1
MAR,Laayoune,NH3 Producer,1
MAR,Laayoune,H2 Producer,1
MAR,Laayoune,MeOH Producer,1
