Industry;Process;Fuel;Status;Year;Parameter;Unit;Fichtner_Value;Source;Other_Value;Source_1;Description;Comment
Shipping;ICE;MeOH;Any;2035;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;72114;;;
Shipping;ICE;MeOH;Any;2040;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;70612;;;
Shipping;ICE;MeOH;Any;2045;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;67081;;;
Shipping;ICE;MeOH;Any;2050;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;6355;;;
Shipping;ICE;NH3;Any;2030;Input Stichiometry;MWh/ 100 Naut. Mile;1060;Martime Europe (Kassandra) ;121943;;;
Shipping;ICE;NH3;Any;2035;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;1060;Martime Europe (Kassandra) ;110809;;;
Shipping;ICE;NH3;Any;2040;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;1060;Martime Europe (Kassandra) ;99675;;;
Shipping;ICE;NH3;Any;2045;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;1060;Martime Europe (Kassandra) ;94691;;;
Shipping;ICE;NH3;Any;2050;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;1060;Martime Europe (Kassandra) ;89708;;;
Shipping;ICE;MGO;Any;2030;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;72562;;;
Shipping;ICE;MGO;Any;2035;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;72562;;;
Shipping;ICE;MGO;Any;2040;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;72562;;;
Shipping;ICE;MGO;Any;2045;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;72562;;;
Shipping;ICE;MGO;Any;2050;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;72562;;;
Shipping;ICE;Biodiesel;Any;2030;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;Biodiesel;Any;2035;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;Biodiesel;Any;2040;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;Biodiesel;Any;2045;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;Biodiesel;Any;2050;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;H2;Any;2030;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;H2;Any;2035;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;H2;Any;2040;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;H2;Any;2045;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;H2;Any;2050;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;MeOH;Any;2030;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;MeOH;Any;2035;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;MeOH;Any;2040;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;MeOH;Any;2045;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;MeOH;Any;2050;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;NH3;Any;2030;Input Stichiometry;MWh/ 100 Naut. Mile;;;;;;
Shipping;ICE;NH3;Any;2035;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;NH3;Any;2040;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;NH3;Any;2045;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;NH3;Any;2050;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;;;;;;
Shipping;ICE;MGO;Any;2030;Input Stichiometry;MWh/ 100 Naut. Mile;;;;;;
Shipping;ICE;MGO;Any;2035;Input Stichiometry;MWh/ 100 Naut. Mile;;;;;;
Shipping;ICE;MGO;Any;2040;Input Stichiometry;MWh/ 100 Naut. Mile;;;;;;
Shipping;ICE;MGO;Any;2045;Input Stichiometry;MWh/ 100 Naut. Mile;;;;;;
Shipping;ICE;MGO;Any;2050;Input Stichiometry;MWh/ 100 Naut. Mile;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Shipping;ICE;LNG;Any;2030;Input Stichiometry;MWh/ 100 Naut. Mile;;;1609;Calclculated based on relative energy density of LNG to MGO, input stichiometry of MGO in KWh per naut. Mile;;
Shipping;ICE;LNG;Any;2035;Input Stichiometry;MWh/ 100 Naut. Mile;;;726;;;
Shipping;ICE;LNG;Any;2040;Input Stichiometry;MWh/ 100 Naut. Mile;;;1574;;;
Shipping;ICE;LNG;Any;2045;Input Stichiometry;MWh/ 100 Naut. Mile;;;726;;;
Shipping;ICE;LNG;Any;2050;Input Stichiometry;MWh/ 100 Naut. Mile;;;726;;;
Shipping;ICE;Biodiesel;Any;2020;LCOF;EUR/kWH;;;6313136364;;;
Shipping;ICE;Biodiesel;Any;2025;LCOF;EUR/kWH;;;6266191447;;;
Shipping;ICE;Biodiesel;Any;2030;LCOF;EUR/kWH;;;6266191447;;;
Shipping;ICE;Biodiesel;Any;2035;LCOF;EUR/kWH;;;6195774071;;;
Shipping;ICE;Biodiesel;Any;2040;LCOF;EUR/kWH;;;6125356695;;;
Shipping;ICE;Biodiesel;Any;2045;LCOF;EUR/kWH;;;6078411778;;;
Shipping;ICE;Biodiesel;Any;2050;LCOF;EUR/kWH;;;6031466861;;;
Shipping;ICE;Biodiesel;Any;2050;LCOF;EUR/kWH;;;2525254545;;;
Shipping;ICE;BtL;Any;2020;LCOF;EUR/kWH;;;7575763636;;;
Shipping;ICE;BtL;Any;2025;LCOF;EUR/kWH;;;7744113939;;;
Shipping;ICE;BtL;Any;2035;LCOF;EUR/kWH;;;8249164848;;;
Shipping;ICE;BtL;Any;2040;LCOF;EUR/kWH;;;8922566061;;;
Shipping;ICE;BtL;Any;2045;LCOF;EUR/kWH;;;9764317576;;;
Shipping;ICE;BtL;Any;2050;LCOF;EUR/kWH;;;8585865455;;;
Shipping;ICE;BtL;US;2050;LCOF;EUR/kWH;;;8585865455;;;
Shipping;ICE;HVO;Any;2020;LCOF;EUR/kWH;;;7323238182;;;
Shipping;ICE;HVO;Any;2020;LCOF;EUR/kWH;;;7323238182;;;
Shipping;ICE;LNG;Any;2020;LCOF;EUR/kWH;;;138889;;;
Shipping;ICE;LNG;Any;2025;LCOF;EUR/kWH;;;1609849773;;;
Shipping;ICE;LNG;Any;2030;LCOF;EUR/kWH;;;1830809545;;;
Shipping;ICE;LNG;Any;2035;LCOF;EUR/kWH;;;2051769318;;;
Shipping;ICE;LNG;Any;2040;LCOF;EUR/kWH;;;2272729091;;;
Shipping;ICE;LNG;Any;2045;LCOF;EUR/kWH;;;2493688864;;;
Shipping;ICE;LNG;Any;2050;LCOF;EUR/kWH;;;2714648636;;;
Shipping;ICE;MGO;Any;2020;LCOF;EUR/kWH;;;2020203636;;;
Shipping;ICE;MGO;Any;2025;LCOF;EUR/kWH;;;2209597727;;;
Shipping;ICE;MGO;Any;2030;LCOF;EUR/kWH;;;2588385909;;;
Shipping;ICE;MGO;Any;2035;LCOF;EUR/kWH;;;3156568182;;;
Shipping;ICE;MGO;Any;2040;LCOF;EUR/kWH;;;277778;;;
Shipping;ICE;MGO;Any;2045;LCOF;EUR/kWH;;;2967174091;;;
Shipping;ICE;MGO;Any;2050;LCOF;EUR/kWH;;;3724750455;;;
Shipping;ICE;BtL;Any;2020;LCOF;EUR/kWH;;;7575763636;;;
Shipping;ICE;BtL;Any;2025;LCOF;EUR/kWH;;;7744113939;;;
Shipping;ICE;BtL;Any;2035;LCOF;EUR/kWH;;;8249164848;;;
