,Duisburg,Ludwigshafen,Leverkusen,Hamburg,Frankfurt,Rotterdam,Chanaral,Antofagasta,Teruel,Guelmim,Agadir,Fiska
Duisburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ludwigshafen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leverkusen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamburg,0.0,0.0,0.0,0.0,0.0,585.0,0.0,13646.0,0.0,0.0,3088.0,0.0
Frankfurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotterdam,0.0,0.0,0.0,585.0,0.0,0.0,0.0,13187.0,0.0,0.0,2629.0,0.0
Chanaral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,0.0,0.0,0.0,13646.0,0.0,13187.0,0.0,0.0,0.0,0.0,0.0,0.0
Teruel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guelmim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agadir,0.0,0.0,0.0,3088.0,0.0,2629.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
