Industry;Item;Process ;Status;Year;Parameter;Unit;Fichtner_Value;Source;Other_Value;Source;Description;Comment
;;;;;Shipping;Biodiesel;Conventional ICE;2050;0,9;;;
;;;;;Hvc;Mto;Olefine;2030;0,44;ggf. Pypsa Daten + Umwiwdmung mto + mta;;
;;;;;Hvc;Mto;Olefine;2035;0,44;Zusammenfassen;;
;;;;;Hvc;Mto;Olefine;2040;0,44;;;
;;;;;Hvc;Mto;Olefine;2045;0,44;;;
;;;;;Hvc;Mto;Olefine;2050;0,44;;;
;;;;;Hvc;Mta;Aromatics;2030;0,49;;;
;;;;;Hvc;Mta;Aromatics;2035;0,49;;;
;;;;;Hvc;Mta;Aromatics;2040;0,49;;;
;;;;;Hvc;Mta;Aromatics;2045;0,49;;;
;;;;;Hvc;Mta;Aromatics;2050;0,49;;;
;;;;;Hvc;MeOHSyn1;MeOH;2030;1;;;
;;;;;Hvc;MeOHSyn1;MeOH;2035;1;;;
;;;;;Hvc;MeOHSyn1;MeOH;2040;1;;;
;;;;;Hvc;MeOHSyn1;MeOH;2045;1;;;
;;;;;Hvc;MeOHSyn1;MeOH;2050;1;;;
;;;;;Hvc;MeOHSyn2;MeOH;2030;1;;;
;;;;;Hvc;MeOHSyn2;MeOH;2035;1;;;
;;;;;Hvc;MeOHSyn2;MeOH;2040;1;;;
;;;;;Hvc;MeOHSyn2;MeOH;2045;1;;;
;;;;;Hvc;MeOHSyn2;MeOH;2050;1;;;
;;;;;Hvc;Rwgs;CO;2030;1;;;
;;;;;Hvc;Rwgs;CO;2035;1;;;
;;;;;Hvc;Rwgs;CO;2040;1;;;
;;;;;Hvc;Rwgs;CO;2045;1;;;
;;;;;Hvc;Rwgs;CO;2050;1;;;
;;;;;Hvc;Dac;CO2;2030;1;;;
;;;;;Hvc;Dac;CO2;2035;1;;;
;;;;;Hvc;Dac;CO2;2040;1;;;
;;;;;Hvc;Dac;CO2;2045;1;;;
;;;;;Hvc;Dac;CO2;2050;1;;;
;;;;;NH3 Producer;Asu;N;2030;1;;;
;;;;;NH3 Producer;Asu;N;2035;1;;;
;;;;;NH3 Producer;Asu;N;2040;1;;;
;;;;;NH3 Producer;Asu;N;2045;1;;;
;;;;;NH3 Producer;Asu;N;2050;1;;;
;;;;;MeOH Producer;Dac;CO2;2030;1;;;
;;;;;MeOH Producer;Dac;CO2;2035;1;;;
;;;;;MeOH Producer;Dac;CO2;2040;1;;;
;;;;;MeOH Producer;Dac;CO2;2045;1;;;
;;;;;MeOH Producer;Dac;CO2;2050;1;;;
