process,location,value
El,AUS,0.35
Onwind,AUS,0.24
Pv,AUS,0.24
El,Chanaral,0.46
Onwind,Chanaral,0.51
Pv,Chanaral,0.51
El,CAN,0.35
Onwind,CAN,0.40
Pv,CAN,0.40
El,Laayoune,0.35
Onwind,Laayoune,0.31
Pv,Laayoune,0.31
El,SAU,0.35
Onwind,SAU,0.00
Pv,SAU,0.00
El,USA,0.35
Onwind,USA,0.00
Pv,USA,0.00
El,ZAF,0.46
Onwind,ZAF,0.00
Pv,ZAF,0.00
Offwind,AUS,0
Offwind,Chanaral,0
Offwind,CAN,0
Offwind,Laayoune,0
Offwind,SAU,0
Offwind,USA,0
Offwind,ZAF,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
