target,year,value
Industry,2030,0.42
Transport,2030,0.01
Shipping,2030,0.01
Aviation,2030,0.01
Industry,2035,0.55
Transport,2035,0.24
Shipping,2035,0.24
Aviation,2035,0.24
Industry,2040,0.67
Transport,2040,0.47
Shipping,2040,0.47
Aviation,2040,0.47
Industry,2045,0.7
Transport,2040,0.5
Shipping,2040,0.51
Transport,2045,0.53
Shipping,2045,0.53
Aviation,2045,0.53
Industry,2050,0.8
Transport,2050,0.7
Shipping,2050,0.7
Aviation,2050,0.7
